Artist,Song,Streams,Genre
Yellow Days,Lately I (feat. Rejjie Snow),"2,833,990",
Yellow Days,Nothing's Going to Keep Me Down,"8,458,179",
Yellow Days,Holding On,"3,960,501",
Yellow Days,I Believe in Love,"4,623,353",
Yellow Days,Hurt in Love,"4,532,188",
Yellow Days,That Easy,"12,235,388",
Yellow Days,Go Home,"4,921,076",
Yellow Days,A Little While,"43,597,972",
Yellow Days,Intro,"178,954",
Yellow Days,Outro (Baked in the Sunshine),"3,667,433",
Yellow Days,People,"6,326,128",
Yellow Days,Interlude (It's Alright),"1,985,162",
Yellow Days,Gap in the Clouds,"37,545,935",
Yellow Days,Your Hand Holding Mine,"23,398,568",
Gus Dapperton,I'm Just Snacking,"45,775,984",
Gus Dapperton,Ditch,"23,553,627",
Gus Dapperton,"Moodna, Once With Grace","24,562,965",
Gus Dapperton,Faceless,"7,225,107",
Gus Dapperton,Pumped Up Kicks - Gus Dapperton Version,"1,291",
Crumb,Thirty-Nine,"4,148,042",
Crumb,Recently Played,"12,171,552",
Crumb,Locket,"42,982,320",
Crumb,Plants,"24,033,823",
Crumb,So Tired,"13,647,772",
Crumb,Bones,"27,236,607",
Crumb,Vinta,"11,952,556",
Summer Salt,Time Away from Home - Remastered 2024,"8,077,966",
Summer Salt,Give My Heart a Little Break,"4,797,374",
Summer Salt,Tidal Waves,"6,364,630",
Summer Salt,Sweet to Me,"27,842,578",
Summer Salt,Time Away from Home,"6,486,447",
Summer Salt,Driving to Hawaii,"29,189,566",
Summer Salt,Rockaway,"9,711,157",
Benee,Drifting,"5,185,441",
Benee,Blu,"6,033,491",
Benee,notice me (feat. BENEE),"6,766,297",
Benee,Monsta,"10,460,796",
Benee,Find an Island,"32,884,056",
Benee,Kua Kore He Kupu / Soaked,"1,571,569",
Benee,Afterlife,"8,060,693",
Benee,Wishful Thinking,"19,833,142",
Benee,Glitter,"99,548,339",
Benee,Want Me Back,"16,861,083",
Benee,Evil Spider,"17,987,709",
Benee,Supalonely,"452,154,180",
Benee,Soaked,"53,094,144",
Benee,Tough Guy,"5,959,586",
Surfaces,This View,"14,342,289",
Surfaces,Grace,"12,431,681",
Surfaces,Beautiful Day,"3,432,699",
Surfaces,Someday,"4,764,444",
Surfaces,Home,"2,524,942",
Surfaces,Outside Interlude,"1,980,000",
Surfaces,Sunday Best,"183,333,355",
Surfaces,Sunday Best - Sped Up,"2,434",
Surfaces,Where The Light Is,"8,138,335",
Surfaces,Ocean Breeze - Acoustic,"575,125",
Surfaces,Kid Kingdoms - Acoustic,"722,705",
Surfaces,Loving - Acoustic,"675,133",
Surfaces,Heaven Falls / Fall on Me,"44,500,609",
Surfaces,Shine On Top,"14,639,523",
Surfaces,Low,"4,301,305",
Surfaces,Ocean Breeze,"4,547,636",
Surfaces,Stay,"4,091,561",
Surfaces,The Way,"1,108,974",
Surfaces,24 / 7 / 365,"56,651,285",
Surfaces,Seattle Interlude,"891,628",
Surfaces,Islands,"1,138,732",
