Artist,Song,Streams,Genre,Class
Alex G,Brighter Than the Sun (feat. Adam Stanton),159185,,0.7871544093735521
Alex G,The Story of Us,86395,,0.45433814340623413
Alex G,Falling (feat. Alex G),1219461,,1.895989324969455
Alex G,Mean (feat. Alex G),364639,,1.2385307663637612
Alex G,Mean (Acoustic Version),158093,,0.7834057048911631
Alex G,Jar of Hearts,229260,,0.9858141272481584
Alex G,Landslide,714092,,1.6045510515599837
Alex G,If I Die Young,161705,,0.7957080328284046
Alex G,Marry Me,174740,,0.8379273652579119
Alex G,Born This Way,1528776,,2.019098379056467
Alex G,Treehouse,27644371,,2.1985536778650747
Alex G,Crab,1186260,,1.880956774584451
Alex G,Cross Country,332323,,1.1879927350807407
Alex G,Go Away,351296,,1.2182292481032384
Alex G,Let It Go,888232,,1.723391936250045
Alex G,Time/Space,309262,,1.1488267311803833
Alex G,House,899268,,1.7301165945711212
Alex G,Remember,773477,,1.6480550799231668
Alex G,The Same,953306,,1.7618960169598026
Alex G,Trash,798670,,1.6655102027761448
Alex G,TV,1425801,,1.981122163580393
Alex G,Gnaw,5487016,,2.715038853110636
Alex G,Race,491227,,1.4008173546379616
Alex G,Things to Do,553962,,1.4662713484048322
Alex G,Euphoria,840746,,1.6934703646039702
Alex G,For The First Time (acoustic),389033,,1.273796324444485
Alex G,Haunted (acoustic),528634,,1.4407847143965382
Alex G,Is Anybody Out There,1195560,,1.8852095789238068
Alex G,Back Home,348968,,1.2146083101375593
Alex G,Super Bass - acoustic,2733888,,2.335645086499063
Alex G,"Tonight, Tonight",965178,,1.7686361791388252
Boygenius,R.I.P.,3968,,1.5
Tones and I,Colourblind,16559200,,1.2487554216773886
Tones and I,Jimmy,18519260,,1.3017006056644638
Tones and I,The Kids Are Coming,28157222,,1.5
Tones and I,Never Seen the Rain,231556966,,2.4972042526928844
Tones and I,Dance Monkey,1802177865,,2.1561108272275455
Tones and I,Dance Monkey - Stripped Back,26918351,,1.4787046218384785
Tones and I,Johnny Run Away,59691180,,1.855610763951559
Tom Misch,Me & You ◑,32234363,,2.333245122104443
Tom Misch,Me & You ◑,32234363,,2.333245122104443
Tom Misch,Cos I Love You,7982464,,1.7051997907573988
Tom Misch,We've Come So Far,4937905,,1.4890821915214927
Tom Misch,You're On My Mind,14766536,,1.9819764580154815
Tom Misch,Disco Yes,25357497,,2.2252737629115766
Tom Misch,Never Moved,134937,,0.0
Tom Misch,Tick Tock,9106980,,1.7645015873291028
Tom Misch,Isn't She Lovely,9152335,,1.7667369280978662
Tom Misch,Before Paris,7832488,,1.6966654681513678
Tom Misch,Man Like You,8096636,,1.7115898858444354
Tom Misch,Lost in Paris,28802173,,2.282587825653588
Tom Misch,It Runs Through Me (feat. De La Soul),54900301,,2.5728414767853836
Tom Misch,Water Baby,13916349,,1.955294294734904
Tom Misch,Movie,60756639,,2.618448131139508
Tom Misch,South of the River - Detroit Swindle Remix,673516,,0.5926828607792736
Tom Misch,South of the River,29563205,,2.2943225912367273
Tom Misch,Day 4: Everybody Get Down,7412252,,1.6718521171698408
Tom Misch,Day 2: Feeling,8517673,,1.7344002976003354
Tom Misch,Day 5: For Carol,9079391,,1.7631363995209468
Tom Misch,Day 3: When You Want to Love,5059184,,1.5
Tom Misch,Day 1: Ephemeral,4504450,,1.4477421273874471
Tom Misch,Cold Little Heart - Tom Misch Remix,3596216,,1.3464189297951574
Tom Misch,Fantastic Interlude,467498,,0.42839589660322286
Tom Misch,Damselfly,46474444,,2.4978711190367964
Tom Misch,Watch Me Dance - Crackazat Remix,956788,,0.7506495417079562
Tom Misch,Losing My Way,54783,,0.0
Tom Misch,Midnight Mischief - Tom Misch Remix,22125758,,2.1639300699243442
Tom Misch,Follow,12654032,,1.9125084726525736
Tom Misch,I Wish,16531782,,2.0327862656251154
Tom Misch,Crazy Dream,40629568,,2.4373938118136818
Tom Misch,Watch Me Dance,12766645,,1.916495107196218
Tom Misch,Stay Close,2094846,,1.1032606251675028
Tom Misch,Friends (feat. Tom Morello) - Tom Misch Alternative Remix,1171630,,0.8417972164365907
Tom Misch,Friends (feat. Tom Morello) - Tom Misch Remix,3528956,,1.3379236733800646
Tom Misch,Changing Me,1021276,,0.7799986066144573
Tom Misch,Colours of Freedom,7339593,,1.6674196172954943
Tom Misch,Falafel,6941822,,1.6423483458223835
Tom Misch,Beautiful Escape,48649037,,2.518447458586474
Tom Misch,Home,5374238,,1.5271826878407733
Tom Misch,The Journey,19884565,,2.1158751409550947
Tom Misch,Come Back,5383670,,1.527971690014413
Tom Misch,Hark,4360618,,1.4331400829771905
Tom Misch,Your Love,10408586,,1.8246114526499164
Tom Misch,Nightgowns,13020814,,1.9253652428781587
Tom Misch,Wander With Me,14946135,,1.987416092058038
Tom Misch,What You Don't Do - Tom Misch Remix,20117830,,2.1211228613880007
Tom Misch,Wake Up This Day,18802099,,2.090688599363272
Tom Misch,In the Midst of It All,27787836,,2.266455714384895
Tom Misch,No Peace,1136684,,0.8281721823865248
Tom Misch,Sunshine,12601907,,1.9106511586487336
Tom Misch,Where I'm From - Tom Misch Remix,2498239,,1.182500954525967
Tom Misch,With You,4059610,,1.4009559814968622
Tom Misch,Release You,6644269,,1.6226358594347816
Tom Misch,Outro,2451062,,1.1739226465347938
Tom Misch,Paper Planes,4593478,,1.4565485615335727
Tom Misch,So Close,12148574,,1.8941663302131362
Tom Misch,Memory,7275725,,1.663487015660054
Tom Misch,Foolish (feat. Ryan Ashley) - Tom Misch Remix,168883,,0.0
Tom Misch,Lush Lyfe,483519,,0.44355745063611085
Tom Misch,Keep Moving,539374,,0.4927461575051406
Tom Misch,Take Me Back,1106212,,0.815945169732416
Tom Misch,Summer,1021018,,0.7798849215991764
Tom Misch,The Real Thing,1124061,,0.823147399107013
Tom Misch,In a Special Way,1028056,,0.7829758938533732
Tom Misch,Maguel Chops,356879,,0.30690824379141257
Tom Misch,Wonder,402066,,0.3605518827044134
Tom Misch,Wind (Jazzy Joint),383147,,0.33886506378380465
Tom Misch,You Got Me Flying,872185,,0.708992325903127
